answer	answer_sentenceid	questionid	storyid
around three	006536d7-2be3-49a4-a750-769684e952ed_0	006536d7-2be3-49a4-a750-769684e952ed_Q0	006536d7-2be3-49a4-a750-769684e952ed
a scratching sound coming from my closet	006536d7-2be3-49a4-a750-769684e952ed_1	006536d7-2be3-49a4-a750-769684e952ed_Q1	006536d7-2be3-49a4-a750-769684e952ed
from my closet	006536d7-2be3-49a4-a750-769684e952ed_1	006536d7-2be3-49a4-a750-769684e952ed_Q2	006536d7-2be3-49a4-a750-769684e952ed
My little brother	006536d7-2be3-49a4-a750-769684e952ed_4	006536d7-2be3-49a4-a750-769684e952ed_Q3	006536d7-2be3-49a4-a750-769684e952ed
at an accounting firm	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
No	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
Larry grew tired of doing the same thing every day.	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
nothing	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_4	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
Tom	0beabab2-fb49-460e-a6e6-f35a202e3348_4	0beabab2-fb49-460e-a6e6-f35a202e3348_Q0	0beabab2-fb49-460e-a6e6-f35a202e3348
a guest	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348_Q1	0beabab2-fb49-460e-a6e6-f35a202e3348
a hole in the wall of his house	0beabab2-fb49-460e-a6e6-f35a202e3348_2	0beabab2-fb49-460e-a6e6-f35a202e3348_Q2	0beabab2-fb49-460e-a6e6-f35a202e3348
with regret about his actions	0beabab2-fb49-460e-a6e6-f35a202e3348_4	0beabab2-fb49-460e-a6e6-f35a202e3348_Q3	0beabab2-fb49-460e-a6e6-f35a202e3348
a new job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_0	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	0dd3e2c3-3ea4-450a-97c4-42a54c426018
She was nervous about her first day of work.	0dd3e2c3-3ea4-450a-97c4-42a54c426018_1	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	0dd3e2c3-3ea4-450a-97c4-42a54c426018
an hour	0dd3e2c3-3ea4-450a-97c4-42a54c426018_3	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	0dd3e2c3-3ea4-450a-97c4-42a54c426018
On the first day of work, Jane overslept.	0dd3e2c3-3ea4-450a-97c4-42a54c426018_2	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	0dd3e2c3-3ea4-450a-97c4-42a54c426018
when I was four years old	110fafd1-2bb7-4ffe-aac7-475706165d41_0	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41
I got Charlie Horse when I was four years old.	110fafd1-2bb7-4ffe-aac7-475706165d41_0	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	110fafd1-2bb7-4ffe-aac7-475706165d41
He's a brown stuffed horse, and at 35 I still sleep with him at night.	110fafd1-2bb7-4ffe-aac7-475706165d41_1	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	110fafd1-2bb7-4ffe-aac7-475706165d41
liked to my radio	110fafd1-2bb7-4ffe-aac7-475706165d41_4	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	110fafd1-2bb7-4ffe-aac7-475706165d41
corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
her backyard	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
too much water	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q2	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
some Pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_1	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	1cc75245-93bd-44cc-b076-8d1b249e1ee5
Julie order the food through an online website.	1cc75245-93bd-44cc-b076-8d1b249e1ee5_2	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	1cc75245-93bd-44cc-b076-8d1b249e1ee5
a bite of the pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	1cc75245-93bd-44cc-b076-8d1b249e1ee5
Julie went to take a bite of the pizza and it was burnt!	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	1cc75245-93bd-44cc-b076-8d1b249e1ee5
a goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	1e379d2b-69e8-485e-92ac-4c3daa41e364
from the pet store	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	1e379d2b-69e8-485e-92ac-4c3daa41e364
her that the goldfish had too much to eat .	1e379d2b-69e8-485e-92ac-4c3daa41e364_2	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	1e379d2b-69e8-485e-92ac-4c3daa41e364
healthier	1e379d2b-69e8-485e-92ac-4c3daa41e364_4	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	1e379d2b-69e8-485e-92ac-4c3daa41e364
his knee	210d56ce-a940-4766-9b7b-d086b2c5682d_1	210d56ce-a940-4766-9b7b-d086b2c5682d_Q0	210d56ce-a940-4766-9b7b-d086b2c5682d
-	-	210d56ce-a940-4766-9b7b-d086b2c5682d_Q1	210d56ce-a940-4766-9b7b-d086b2c5682d
a handkerchief in his pants	210d56ce-a940-4766-9b7b-d086b2c5682d_2	210d56ce-a940-4766-9b7b-d086b2c5682d_Q2	210d56ce-a940-4766-9b7b-d086b2c5682d
some peroxide and bandages	210d56ce-a940-4766-9b7b-d086b2c5682d_4	210d56ce-a940-4766-9b7b-d086b2c5682d_Q3	210d56ce-a940-4766-9b7b-d086b2c5682d
He noticed a wallet lying on the ground.	271616db-90c2-4303-9c2b-64f4061ceb56_1	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	271616db-90c2-4303-9c2b-64f4061ceb56
to the police station	271616db-90c2-4303-9c2b-64f4061ceb56_2	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	271616db-90c2-4303-9c2b-64f4061ceb56
That evening	271616db-90c2-4303-9c2b-64f4061ceb56_3	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	271616db-90c2-4303-9c2b-64f4061ceb56
The old man	271616db-90c2-4303-9c2b-64f4061ceb56_4	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	271616db-90c2-4303-9c2b-64f4061ceb56
Bill	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
the truck he wanted despite Bobby 's advice	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
He	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
two vehicles	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
Boston to Saco Maine	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_1	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
in Portland	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_2	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q1	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
the Amtrak	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_1	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q2	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
My friend	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_3	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q3	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
because his dog was showing a lot of aggression	375c34c9-3d98-4b2f-9076-404f34ad4e66_0	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q0	375c34c9-3d98-4b2f-9076-404f34ad4e66
Walter	375c34c9-3d98-4b2f-9076-404f34ad4e66_2	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q1	375c34c9-3d98-4b2f-9076-404f34ad4e66
the dog	375c34c9-3d98-4b2f-9076-404f34ad4e66_3	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q2	375c34c9-3d98-4b2f-9076-404f34ad4e66
of the fleas and the dog 's bad mood	375c34c9-3d98-4b2f-9076-404f34ad4e66_4	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q3	375c34c9-3d98-4b2f-9076-404f34ad4e66
his leg	3be3719a-ae77-4106-88ea-988afb19db99_1	3be3719a-ae77-4106-88ea-988afb19db99_Q0	3be3719a-ae77-4106-88ea-988afb19db99
for a minute	3be3719a-ae77-4106-88ea-988afb19db99_3	3be3719a-ae77-4106-88ea-988afb19db99_Q1	3be3719a-ae77-4106-88ea-988afb19db99
Yes	3be3719a-ae77-4106-88ea-988afb19db99_4	3be3719a-ae77-4106-88ea-988afb19db99_Q2	3be3719a-ae77-4106-88ea-988afb19db99
Robbie began to run again and finished the race in second place.	3be3719a-ae77-4106-88ea-988afb19db99_4	3be3719a-ae77-4106-88ea-988afb19db99_Q3	3be3719a-ae77-4106-88ea-988afb19db99
the big aquarium 	4d7b022e-25d2-4300-a9b0-24ab35f4045b_0	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q0	4d7b022e-25d2-4300-a9b0-24ab35f4045b
Melody took a nap during the two hour car ride to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_1	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q1	4d7b022e-25d2-4300-a9b0-24ab35f4045b
sharks , tropical fish and	4d7b022e-25d2-4300-a9b0-24ab35f4045b_3	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q2	4d7b022e-25d2-4300-a9b0-24ab35f4045b
home	4d7b022e-25d2-4300-a9b0-24ab35f4045b_4	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q3	4d7b022e-25d2-4300-a9b0-24ab35f4045b
in another city 	50357157-3765-40b5-8e32-f86961c98be0_0	50357157-3765-40b5-8e32-f86961c98be0_Q0	50357157-3765-40b5-8e32-f86961c98be0
She	50357157-3765-40b5-8e32-f86961c98be0_2	50357157-3765-40b5-8e32-f86961c98be0_Q1	50357157-3765-40b5-8e32-f86961c98be0
if Nicole bought the tickets	50357157-3765-40b5-8e32-f86961c98be0_3	50357157-3765-40b5-8e32-f86961c98be0_Q2	50357157-3765-40b5-8e32-f86961c98be0
to the concert	50357157-3765-40b5-8e32-f86961c98be0_4	50357157-3765-40b5-8e32-f86961c98be0_Q3	50357157-3765-40b5-8e32-f86961c98be0
Universal Studios	5e76713f-92b2-4a5d-8f8d-510fde45705c_0	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q0	5e76713f-92b2-4a5d-8f8d-510fde45705c
to go on all the rides	5e76713f-92b2-4a5d-8f8d-510fde45705c_1	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q1	5e76713f-92b2-4a5d-8f8d-510fde45705c
a lot of the characters	5e76713f-92b2-4a5d-8f8d-510fde45705c_2	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q2	5e76713f-92b2-4a5d-8f8d-510fde45705c
They spent three days in the park.	5e76713f-92b2-4a5d-8f8d-510fde45705c_3	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q3	5e76713f-92b2-4a5d-8f8d-510fde45705c
a new hobby	61550fe1-c17d-4b94-b225-941026bdb68e_0	61550fe1-c17d-4b94-b225-941026bdb68e_Q0	61550fe1-c17d-4b94-b225-941026bdb68e
to the craft store	61550fe1-c17d-4b94-b225-941026bdb68e_1	61550fe1-c17d-4b94-b225-941026bdb68e_Q1	61550fe1-c17d-4b94-b225-941026bdb68e
an amazing masterpiece	61550fe1-c17d-4b94-b225-941026bdb68e_2	61550fe1-c17d-4b94-b225-941026bdb68e_Q2	61550fe1-c17d-4b94-b225-941026bdb68e
in her kitchen 	61550fe1-c17d-4b94-b225-941026bdb68e_4	61550fe1-c17d-4b94-b225-941026bdb68e_Q3	61550fe1-c17d-4b94-b225-941026bdb68e
to the lake	6ebc8d48-029b-4f00-89b3-773ce802825e_0	6ebc8d48-029b-4f00-89b3-773ce802825e_Q0	6ebc8d48-029b-4f00-89b3-773ce802825e
by the water	6ebc8d48-029b-4f00-89b3-773ce802825e_1	6ebc8d48-029b-4f00-89b3-773ce802825e_Q1	6ebc8d48-029b-4f00-89b3-773ce802825e
took a romantic trip	6ebc8d48-029b-4f00-89b3-773ce802825e_0	6ebc8d48-029b-4f00-89b3-773ce802825e_Q2	6ebc8d48-029b-4f00-89b3-773ce802825e
returned When they returned home , they decided to buy a lake house	6ebc8d48-029b-4f00-89b3-773ce802825e_4	6ebc8d48-029b-4f00-89b3-773ce802825e_Q3	6ebc8d48-029b-4f00-89b3-773ce802825e
to a restaurant	712702cc-f042-4ca5-84dc-ada756cc8959_0	712702cc-f042-4ca5-84dc-ada756cc8959_Q0	712702cc-f042-4ca5-84dc-ada756cc8959
ketchup	712702cc-f042-4ca5-84dc-ada756cc8959_4	712702cc-f042-4ca5-84dc-ada756cc8959_Q1	712702cc-f042-4ca5-84dc-ada756cc8959
ketchup	712702cc-f042-4ca5-84dc-ada756cc8959_4	712702cc-f042-4ca5-84dc-ada756cc8959_Q2	712702cc-f042-4ca5-84dc-ada756cc8959
No	712702cc-f042-4ca5-84dc-ada756cc8959_3	712702cc-f042-4ca5-84dc-ada756cc8959_Q3	712702cc-f042-4ca5-84dc-ada756cc8959
from me	77338898-07d4-4143-8451-284540c8b082_1	77338898-07d4-4143-8451-284540c8b082_Q0	77338898-07d4-4143-8451-284540c8b082
on the internet	77338898-07d4-4143-8451-284540c8b082_0	77338898-07d4-4143-8451-284540c8b082_Q1	77338898-07d4-4143-8451-284540c8b082
She stayed with me for a week or two.	77338898-07d4-4143-8451-284540c8b082_3	77338898-07d4-4143-8451-284540c8b082_Q2	77338898-07d4-4143-8451-284540c8b082
We decided we could n't be apart	77338898-07d4-4143-8451-284540c8b082_4	77338898-07d4-4143-8451-284540c8b082_Q3	77338898-07d4-4143-8451-284540c8b082
On Christmas morning he ran downstairs to the tree.	790d9cb4-4832-49e8-8137-331e79a4b9e6_1	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q0	790d9cb4-4832-49e8-8137-331e79a4b9e6
so many presents	790d9cb4-4832-49e8-8137-331e79a4b9e6_2	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q1	790d9cb4-4832-49e8-8137-331e79a4b9e6
so many presents	790d9cb4-4832-49e8-8137-331e79a4b9e6_2	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q2	790d9cb4-4832-49e8-8137-331e79a4b9e6
Christmas	790d9cb4-4832-49e8-8137-331e79a4b9e6_3	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q3	790d9cb4-4832-49e8-8137-331e79a4b9e6
The math teacher	8036c905-f23e-4976-83a1-85d679b5e0c2_0	8036c905-f23e-4976-83a1-85d679b5e0c2_Q0	8036c905-f23e-4976-83a1-85d679b5e0c2
About 5 minutes later	8036c905-f23e-4976-83a1-85d679b5e0c2_3	8036c905-f23e-4976-83a1-85d679b5e0c2_Q1	8036c905-f23e-4976-83a1-85d679b5e0c2
some students	8036c905-f23e-4976-83a1-85d679b5e0c2_1	8036c905-f23e-4976-83a1-85d679b5e0c2_Q2	8036c905-f23e-4976-83a1-85d679b5e0c2
I stood up feeling confident and turned it in .	8036c905-f23e-4976-83a1-85d679b5e0c2_4	8036c905-f23e-4976-83a1-85d679b5e0c2_Q3	8036c905-f23e-4976-83a1-85d679b5e0c2
on a trip to the amazon	865db3c4-a253-4d35-8766-25fc7e0a8cfb_0	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q0	865db3c4-a253-4d35-8766-25fc7e0a8cfb
at all the beauty	865db3c4-a253-4d35-8766-25fc7e0a8cfb_2	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q1	865db3c4-a253-4d35-8766-25fc7e0a8cfb
the US 	865db3c4-a253-4d35-8766-25fc7e0a8cfb_1	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q2	865db3c4-a253-4d35-8766-25fc7e0a8cfb
Jill had a wonderful time on her trip to the Amazon.	865db3c4-a253-4d35-8766-25fc7e0a8cfb_4	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q3	865db3c4-a253-4d35-8766-25fc7e0a8cfb
or too casual .	87da1a22-df0b-410c-b186-439700b70ba6_1	87da1a22-df0b-410c-b186-439700b70ba6_Q0	87da1a22-df0b-410c-b186-439700b70ba6
-	-	87da1a22-df0b-410c-b186-439700b70ba6_Q1	87da1a22-df0b-410c-b186-439700b70ba6
a pair of khakis	87da1a22-df0b-410c-b186-439700b70ba6_2	87da1a22-df0b-410c-b186-439700b70ba6_Q2	87da1a22-df0b-410c-b186-439700b70ba6
Yes	87da1a22-df0b-410c-b186-439700b70ba6_3	87da1a22-df0b-410c-b186-439700b70ba6_Q3	87da1a22-df0b-410c-b186-439700b70ba6
Chris is a defense attorney.	88fba119-ccac-4b82-881f-e609e188bebc_0	88fba119-ccac-4b82-881f-e609e188bebc_Q0	88fba119-ccac-4b82-881f-e609e188bebc
no	88fba119-ccac-4b82-881f-e609e188bebc_2	88fba119-ccac-4b82-881f-e609e188bebc_Q1	88fba119-ccac-4b82-881f-e609e188bebc
Yes	88fba119-ccac-4b82-881f-e609e188bebc_4	88fba119-ccac-4b82-881f-e609e188bebc_Q2	88fba119-ccac-4b82-881f-e609e188bebc
the case and the client	88fba119-ccac-4b82-881f-e609e188bebc_4	88fba119-ccac-4b82-881f-e609e188bebc_Q3	88fba119-ccac-4b82-881f-e609e188bebc
He realized he 'd been eating too much fast food lately	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_2	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
stopped a vegetarian diet	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q1	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
a few weeks	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_4	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q2	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
a few weeks	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_4	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
Ava was six years old.	8ca3cedb-510e-4454-ba08-93eaa605563b_0	8ca3cedb-510e-4454-ba08-93eaa605563b_Q0	8ca3cedb-510e-4454-ba08-93eaa605563b
Her mom	8ca3cedb-510e-4454-ba08-93eaa605563b_2	8ca3cedb-510e-4454-ba08-93eaa605563b_Q1	8ca3cedb-510e-4454-ba08-93eaa605563b
Yes	8ca3cedb-510e-4454-ba08-93eaa605563b_4	8ca3cedb-510e-4454-ba08-93eaa605563b_Q2	8ca3cedb-510e-4454-ba08-93eaa605563b
to the pool	8ca3cedb-510e-4454-ba08-93eaa605563b_2	8ca3cedb-510e-4454-ba08-93eaa605563b_Q3	8ca3cedb-510e-4454-ba08-93eaa605563b
Beth	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
a letter	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q1	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
no	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
that Santa a fake	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
hockey	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_0	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q0	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
Luke	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_4	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q1	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
Everybody	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
Luke was so proud of himself!	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_4	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
the tacos	9a66b66d-034d-495e-a60e-e22c25e0e0fa_4	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q0	9a66b66d-034d-495e-a60e-e22c25e0e0fa
Heather	9a66b66d-034d-495e-a60e-e22c25e0e0fa_3	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q1	9a66b66d-034d-495e-a60e-e22c25e0e0fa
five kids	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_4	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q0	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
five kids	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_4	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q1	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
Now, Stacy is selling all her maternity and baby clothes.	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_3	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q2	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
