answer	answer_sentenceid	questionid	storyid
Yes	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_4	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q3	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
a bottle of beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_0	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q0	a111d580-1fb2-4ab1-848a-0856982dfcd5
a popping noise	a111d580-1fb2-4ab1-848a-0856982dfcd5_1	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q1	a111d580-1fb2-4ab1-848a-0856982dfcd5
burst	a111d580-1fb2-4ab1-848a-0856982dfcd5_2	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q2	a111d580-1fb2-4ab1-848a-0856982dfcd5
a warm beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_4	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q3	a111d580-1fb2-4ab1-848a-0856982dfcd5
Jude	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
the way to the arena in traffic	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
Yes	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_3	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q2	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
Jude was very excited about his college graduation ceremony.	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q3	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
Anna	aab4ee80-fc00-4d9c-a127-a63b54dfd193_0	aab4ee80-fc00-4d9c-a127-a63b54dfd193_Q0	aab4ee80-fc00-4d9c-a127-a63b54dfd193
of thunder	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q0	ae7e744e-fd27-46c2-befb-7e8427cb679c
in the kneehole of my desk	ae7e744e-fd27-46c2-befb-7e8427cb679c_3	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q1	ae7e744e-fd27-46c2-befb-7e8427cb679c
Chad 's dog	b93f956f-2256-4c6d-91d2-7675dff455f0_0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q0	b93f956f-2256-4c6d-91d2-7675dff455f0
Chad	b93f956f-2256-4c6d-91d2-7675dff455f0_2	b93f956f-2256-4c6d-91d2-7675dff455f0_Q1	b93f956f-2256-4c6d-91d2-7675dff455f0
how to behave	b93f956f-2256-4c6d-91d2-7675dff455f0_3	b93f956f-2256-4c6d-91d2-7675dff455f0_Q2	b93f956f-2256-4c6d-91d2-7675dff455f0
to finally show off his dog to others	b93f956f-2256-4c6d-91d2-7675dff455f0_4	b93f956f-2256-4c6d-91d2-7675dff455f0_Q3	b93f956f-2256-4c6d-91d2-7675dff455f0
the bus	b94e1810-9869-4af6-bb74-b4a51c46f3d2_3	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q0	b94e1810-9869-4af6-bb74-b4a51c46f3d2
His girlfriend	b94e1810-9869-4af6-bb74-b4a51c46f3d2_1	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q1	b94e1810-9869-4af6-bb74-b4a51c46f3d2
His brother	b94e1810-9869-4af6-bb74-b4a51c46f3d2_2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q2	b94e1810-9869-4af6-bb74-b4a51c46f3d2
a ride to the store	b94e1810-9869-4af6-bb74-b4a51c46f3d2_0	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q3	b94e1810-9869-4af6-bb74-b4a51c46f3d2
therapy	bfa4ef8c-715d-4287-88a5-035611e34e40_3	bfa4ef8c-715d-4287-88a5-035611e34e40_Q0	bfa4ef8c-715d-4287-88a5-035611e34e40
His girlfriend	bfa4ef8c-715d-4287-88a5-035611e34e40_1	bfa4ef8c-715d-4287-88a5-035611e34e40_Q1	bfa4ef8c-715d-4287-88a5-035611e34e40
Justin went to therapy to help him get over his fear .	bfa4ef8c-715d-4287-88a5-035611e34e40_2	bfa4ef8c-715d-4287-88a5-035611e34e40_Q2	bfa4ef8c-715d-4287-88a5-035611e34e40
therapy	bfa4ef8c-715d-4287-88a5-035611e34e40_3	bfa4ef8c-715d-4287-88a5-035611e34e40_Q3	bfa4ef8c-715d-4287-88a5-035611e34e40
Andy was disappointed with his new, bold, green hair color.	c400d38a-54fc-45da-99ed-558fcfc81016_4	c400d38a-54fc-45da-99ed-558fcfc81016_Q0	c400d38a-54fc-45da-99ed-558fcfc81016
bold	c400d38a-54fc-45da-99ed-558fcfc81016_4	c400d38a-54fc-45da-99ed-558fcfc81016_Q1	c400d38a-54fc-45da-99ed-558fcfc81016
the stylist	c400d38a-54fc-45da-99ed-558fcfc81016_3	c400d38a-54fc-45da-99ed-558fcfc81016_Q2	c400d38a-54fc-45da-99ed-558fcfc81016
No	c400d38a-54fc-45da-99ed-558fcfc81016_4	c400d38a-54fc-45da-99ed-558fcfc81016_Q3	c400d38a-54fc-45da-99ed-558fcfc81016
John was a pastor with a very bad memory.	c71bb23b-7731-4233-8298-76ba6886cee1_0	c71bb23b-7731-4233-8298-76ba6886cee1_Q0	c71bb23b-7731-4233-8298-76ba6886cee1
Sundays	c71bb23b-7731-4233-8298-76ba6886cee1_3	c71bb23b-7731-4233-8298-76ba6886cee1_Q1	c71bb23b-7731-4233-8298-76ba6886cee1
Yes	c71bb23b-7731-4233-8298-76ba6886cee1_4	c71bb23b-7731-4233-8298-76ba6886cee1_Q2	c71bb23b-7731-4233-8298-76ba6886cee1
Sundays	c71bb23b-7731-4233-8298-76ba6886cee1_3	c71bb23b-7731-4233-8298-76ba6886cee1_Q3	c71bb23b-7731-4233-8298-76ba6886cee1
One day	d869c6d9-4a06-4d94-bf97-dc37167a5520_0	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q0	d869c6d9-4a06-4d94-bf97-dc37167a5520
baseball	d869c6d9-4a06-4d94-bf97-dc37167a5520_1	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q1	d869c6d9-4a06-4d94-bf97-dc37167a5520
Karl is very competitive and will do anything to win .	d869c6d9-4a06-4d94-bf97-dc37167a5520_2	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q2	d869c6d9-4a06-4d94-bf97-dc37167a5520
One day , he slid into second base to beat a throw and hurt his knee	d869c6d9-4a06-4d94-bf97-dc37167a5520_3	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q3	d869c6d9-4a06-4d94-bf97-dc37167a5520
her local fast food establishment	e663b977-2af7-4b1d-bd33-352d932f851b_0	e663b977-2af7-4b1d-bd33-352d932f851b_Q0	e663b977-2af7-4b1d-bd33-352d932f851b
No	e663b977-2af7-4b1d-bd33-352d932f851b_1	e663b977-2af7-4b1d-bd33-352d932f851b_Q1	e663b977-2af7-4b1d-bd33-352d932f851b
Wendy	e663b977-2af7-4b1d-bd33-352d932f851b_2	e663b977-2af7-4b1d-bd33-352d932f851b_Q2	e663b977-2af7-4b1d-bd33-352d932f851b
The cook	e663b977-2af7-4b1d-bd33-352d932f851b_3	e663b977-2af7-4b1d-bd33-352d932f851b_Q3	e663b977-2af7-4b1d-bd33-352d932f851b
Eric 's wife	f3643541-c339-4377-851d-144ea400d551_1	f3643541-c339-4377-851d-144ea400d551_Q0	f3643541-c339-4377-851d-144ea400d551
Eric	f3643541-c339-4377-851d-144ea400d551_3	f3643541-c339-4377-851d-144ea400d551_Q1	f3643541-c339-4377-851d-144ea400d551
her 5 years	f3643541-c339-4377-851d-144ea400d551_3	f3643541-c339-4377-851d-144ea400d551_Q2	f3643541-c339-4377-851d-144ea400d551
Eric and Meg	f3643541-c339-4377-851d-144ea400d551_2	f3643541-c339-4377-851d-144ea400d551_Q3	f3643541-c339-4377-851d-144ea400d551
a house	f7559f25-0358-4f57-b079-dec2199b4ec3_0	f7559f25-0358-4f57-b079-dec2199b4ec3_Q0	f7559f25-0358-4f57-b079-dec2199b4ec3
He	f7559f25-0358-4f57-b079-dec2199b4ec3_1	f7559f25-0358-4f57-b079-dec2199b4ec3_Q1	f7559f25-0358-4f57-b079-dec2199b4ec3
he would move out .	f7559f25-0358-4f57-b079-dec2199b4ec3_3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q2	f7559f25-0358-4f57-b079-dec2199b4ec3
He found a place and moved out as fast as he could .	f7559f25-0358-4f57-b079-dec2199b4ec3_4	f7559f25-0358-4f57-b079-dec2199b4ec3_Q3	f7559f25-0358-4f57-b079-dec2199b4ec3
Suzy	4014eba9-f77e-4c1d-843f-135b6ec3aa42_0	4014eba9-f77e-4c1d-843f-135b6ec3aa42_Q0	4014eba9-f77e-4c1d-843f-135b6ec3aa42
paw	4014eba9-f77e-4c1d-843f-135b6ec3aa42_1	4014eba9-f77e-4c1d-843f-135b6ec3aa42_Q1	4014eba9-f77e-4c1d-843f-135b6ec3aa42
her daddy	4014eba9-f77e-4c1d-843f-135b6ec3aa42_3	4014eba9-f77e-4c1d-843f-135b6ec3aa42_Q2	4014eba9-f77e-4c1d-843f-135b6ec3aa42
that daddy bought her the paw patrol toy	4014eba9-f77e-4c1d-843f-135b6ec3aa42_4	4014eba9-f77e-4c1d-843f-135b6ec3aa42_Q3	4014eba9-f77e-4c1d-843f-135b6ec3aa42
Two weeks ago	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_0	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_Q0	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644
She was watching her ten and seven year old grandchildren.	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_1	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_Q1	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644
They were misbehaving, and getting restless.	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_2	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_Q2	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644
for distraction	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_3	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644_Q3	e7a76ca7-b80a-4b39-9b6f-b5e8e2a9c644
a cake	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_0	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_Q0	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06
for ingredients	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_1	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_Q1	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06
She needed cocoa powder but could not find any .	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_2	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_Q2	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06
chocolate	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_3	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06_Q3	4a58b6a6-ab4c-4bea-8c59-d110f7fc8d06
in class	ea4ef18f-a227-4141-9628-760f68b0484f_0	ea4ef18f-a227-4141-9628-760f68b0484f_Q0	ea4ef18f-a227-4141-9628-760f68b0484f
Everyone	ea4ef18f-a227-4141-9628-760f68b0484f_1	ea4ef18f-a227-4141-9628-760f68b0484f_Q1	ea4ef18f-a227-4141-9628-760f68b0484f
Diana	ea4ef18f-a227-4141-9628-760f68b0484f_0	ea4ef18f-a227-4141-9628-760f68b0484f_Q2	ea4ef18f-a227-4141-9628-760f68b0484f
that they were not mad at me	ea4ef18f-a227-4141-9628-760f68b0484f_4	ea4ef18f-a227-4141-9628-760f68b0484f_Q3	ea4ef18f-a227-4141-9628-760f68b0484f
early yesterday	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_0	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_Q0	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5
yesterday because I was going on a trip	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_0	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_Q1	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5
to Dunn 's river	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_2	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_Q2	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5
Dunn 's	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_2	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5_Q3	c61b63e2-1715-4cc5-8ef2-877d6a3b27c5
Tim	a401dae3-2777-4bbc-b1b2-8c2e28f49679_3	a401dae3-2777-4bbc-b1b2-8c2e28f49679_Q0	a401dae3-2777-4bbc-b1b2-8c2e28f49679
in the hot tub	a401dae3-2777-4bbc-b1b2-8c2e28f49679_1	a401dae3-2777-4bbc-b1b2-8c2e28f49679_Q1	a401dae3-2777-4bbc-b1b2-8c2e28f49679
many souvenirs	a401dae3-2777-4bbc-b1b2-8c2e28f49679_3	a401dae3-2777-4bbc-b1b2-8c2e28f49679_Q2	a401dae3-2777-4bbc-b1b2-8c2e28f49679
He was sad when his vacation was over.	a401dae3-2777-4bbc-b1b2-8c2e28f49679_4	a401dae3-2777-4bbc-b1b2-8c2e28f49679_Q3	a401dae3-2777-4bbc-b1b2-8c2e28f49679
for a new car	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_0	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_Q0	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae
the dealership	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_1	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_Q1	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae
He	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_3	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_Q2	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae
Ted was so happy with his new car.	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_4	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae_Q3	ec56f0bb-b5f6-4d93-9b60-754e9fa6d5ae
all the good ideas of his employees	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_1	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_Q0	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e
no way to fix the problem they were facing	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_2	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_Q1	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e
His own boss	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_3	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_Q2	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e
demote his privileges	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_4	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e_Q3	d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e
Anthony auditioned for a solo.	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_0	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_Q0	c6f6d339-3ce5-42b4-9d15-434eb77d25a9
the stage	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_4	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_Q1	c6f6d339-3ce5-42b4-9d15-434eb77d25a9
gave pep	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_3	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_Q2	c6f6d339-3ce5-42b4-9d15-434eb77d25a9
took sang	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_4	c6f6d339-3ce5-42b4-9d15-434eb77d25a9_Q3	c6f6d339-3ce5-42b4-9d15-434eb77d25a9
into the living room	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_0	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_Q0	f15c3d84-34ad-4b32-85f8-81cb3364f1c8
As she entered , she accidentally bumped into the coffee table	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_1	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_Q1	f15c3d84-34ad-4b32-85f8-81cb3364f1c8
in large pieces	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_2	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_Q2	f15c3d84-34ad-4b32-85f8-81cb3364f1c8
onto the table as if nothing happened 	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_4	f15c3d84-34ad-4b32-85f8-81cb3364f1c8_Q3	f15c3d84-34ad-4b32-85f8-81cb3364f1c8
Anna was very nervous about her blind date later that evening.	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_0	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_Q0	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a
After many outfit changes	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_1	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_Q1	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a
Anna was five minutes early to the agreed upon restaurant.	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_2	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_Q2	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a
to find herself enjoying her dinner date	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_3	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a_Q3	3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a
around the pond	522e694b-65a0-48cb-a685-f50ae70b0e41_0	522e694b-65a0-48cb-a685-f50ae70b0e41_Q0	522e694b-65a0-48cb-a685-f50ae70b0e41
a frog resting on the lily pad	522e694b-65a0-48cb-a685-f50ae70b0e41_1	522e694b-65a0-48cb-a685-f50ae70b0e41_Q1	522e694b-65a0-48cb-a685-f50ae70b0e41
a rock	522e694b-65a0-48cb-a685-f50ae70b0e41_2	522e694b-65a0-48cb-a685-f50ae70b0e41_Q2	522e694b-65a0-48cb-a685-f50ae70b0e41
away .	522e694b-65a0-48cb-a685-f50ae70b0e41_4	522e694b-65a0-48cb-a685-f50ae70b0e41_Q3	522e694b-65a0-48cb-a685-f50ae70b0e41
a beautiful dress	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_0	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_Q0	c0c04169-38b8-45f8-81d4-146b2e0b1a4a
to her favorite store	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_1	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_Q1	c0c04169-38b8-45f8-81d4-146b2e0b1a4a
No	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_2	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_Q2	c0c04169-38b8-45f8-81d4-146b2e0b1a4a
three more stores	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_3	c0c04169-38b8-45f8-81d4-146b2e0b1a4a_Q3	c0c04169-38b8-45f8-81d4-146b2e0b1a4a
on a branch of a tree with a piece of cheese	fables-01_0	fables-01_Q1	fables-01
A Crow	fables-01_0	fables-01_Q10	fables-01
A Crow	fables-01_0	fables-01_Q11	fables-01
Her beauty is without equal, the hue of her plumage exquisite.	fables-01_2	fables-01_Q12	fables-01
The Crow was hugely flattered by this, and just to show the Fox that she could sing she gave a loud caw.	fables-01_4	fables-01_Q13	fables-01
A Crow	fables-01_0	fables-01_Q14	fables-01
A Crow	fables-01_0	fables-01_Q15	fables-01
The Crow	fables-01_4	fables-01_Q16	fables-01
A Crow	fables-01_0	fables-01_Q17	fables-01
The Crow	fables-01_4	fables-01_Q18	fables-01
Her beauty is without equal, the hue of her plumage exquisite.	fables-01_2	fables-01_Q19	fables-01
Her beauty is without equal, the hue of her plumage exquisite.	fables-01_2	fables-01_Q20	fables-01
under the tree he looked up and said , What a noble bird I see above me !	fables-01_1	fables-01_Q21	fables-01
Her beauty is without equal, the hue of her plumage exquisite.	fables-01_2	fables-01_Q22	fables-01
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01_0	fables-01_Q2	fables-01
Down	fables-01_5	fables-01_Q3	fables-01
came of course	fables-01_5	fables-01_Q4	fables-01
a branch of a tree with a piece of cheese in her beak	fables-01_0	fables-01_Q5	fables-01
the Fox	fables-01_4	fables-01_Q6	fables-01
A Crow	fables-01_0	fables-01_Q7	fables-01
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.	fables-01_0	fables-01_Q8	fables-01
course	fables-01_5	fables-01_Q9	fables-01
A Lion	fables-02_0	fables-02_Q1	fables-02
him , for he was afraid of his sharp horns .	fables-02_0	fables-02_Q10	fables-02
A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.	fables-02_0	fables-02_Q11	fables-02
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02_8	fables-02_Q12	fables-02
The Bull	fables-02_8	fables-02_Q13	fables-02
a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02_0	fables-02_Q14	fables-02
of the royal feast he would make	fables-02_0	fables-02_Q15	fables-02
a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02_0	fables-02_Q16	fables-02
of the royal feast he would make	fables-02_0	fables-02_Q17	fables-02
The Bull	fables-02_8	fables-02_Q18	fables-02
A Lion	fables-02_0	fables-02_Q19	fables-02
The Bull	fables-02_8	fables-02_Q2	fables-02
to attack him , for he was afraid of his sharp horns .	fables-02_0	fables-02_Q20	fables-02
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.	fables-02_8	fables-02_Q21	fables-02
of the royal feast he would make	fables-02_0	fables-02_Q22	fables-02
The Bull	fables-02_8	fables-02_Q23	fables-02
